"Vaccine","Geographic Level","Geographic Name","Demographic Level","Demographic Name","Indicator_label","Indicator_category_label","influenza_season","Month_Week","Week_ending","Current_Season_Week_Ending_Label","Estimate","CI_Half_width_95pct","Unweighted Sample Size","Weighted Sample Size","Legend_Label","Indicator_Category_Label_Sort","Demographic_Level_Sort_Order","Geography_name_order","Geography_Level_Sort_Order","Season_Sort","Legend_Sort","suppression_flag"
,"Region","Region 4","Overall","Overall","Up-to-date","Yes","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","40.5692","1.791","11851","14146233","2024-2025, Region 4. Overall (6 months-17 years)",,"1","5","2",,,"0"
,"National","National","Urbanicity","Suburban (MSA Non-Principal City)","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","2.9391","0.9799","1690","43704962","2024-2025, National. Urbanicity: Suburban (MSA Non-Principal City)","2","6","1","1",,,"0"
,"Region","Region 5","Overall","Overall","Up-to-date","Yes","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","46.956","2.0378","9618","11056581","2024-2025, Region 5. Overall (6 months-17 years)",,"1","6","2",,,"0"
,"National","National","Poverty Status","Above Poverty, Income >= $75k","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","1.8861","0.8274","1705","36308307","2024-2025, National. Poverty Status: Above Poverty, Income >= $75k","2","4","1","1",,,"0"
,"Region","Region 6","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","2.5782","1.302","567","10325112","2024-2025, Region 6. Overall (6 months-17 years)","2","1","7","2",,,"0"
,"National","National","Urbanicity","Suburban (MSA Non-Principal City)","4-level vaccination and intent","Probably will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","8.1695","2.1993","1690","43704962","2024-2025, National. Urbanicity: Suburban (MSA Non-Principal City)","3","6","1","1",,,"0"
,"Region","Region 7","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","42.9302","10.0613","196","3128324","2024-2025, Region 7. Overall (6 months-17 years)","4","1","8","2",,,"0"
,"National","National","Poverty Status","Above Poverty, Income >= $75k","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","52.4986","1.2029","43847","36308307","2024-2025, National. Poverty Status: Above Poverty, Income >= $75k","1","4","1","1",,,"0"
,"Region","Region 7","Overall","Overall","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","48.1952","2.9576","4639","3128324","2024-2025, Region 7. Overall (6 months-17 years)","1","1","8","2",,,"0"
,"Region","Region 1","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","30.914","8.2804","230","2755858","2024-2025, Region 1. Overall (6 months-17 years)","4","1","2","2",,,"0"
,"Region","Region 8","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","41.5629","10.6894","229","2810093","2024-2025, Region 8. Overall (6 months-17 years)","4","1","9","2",,,"0"
,"National","National","Poverty Status","Below Poverty","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","32.4866","7.8649","401","10863161","2024-2025, National. Poverty Status: Below Poverty","4","4","1","1",,,"0"
,"Region","Region 8","Overall","Overall","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","48.3179","2.5024","8310","2810093","2024-2025, Region 8. Overall (6 months-17 years)","1","1","9","2",,,"0"
,"Region","Region 1","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","3.0925","2.7663","230","2755858","2024-2025, Region 1. Overall (6 months-17 years)","3","1","2","2",,,"0"
,"Region","Region 8","Overall","Overall","Up-to-date","Yes","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","48.3179","2.5024","8310","2810093","2024-2025, Region 8. Overall (6 months-17 years)",,"1","9","2",,,"0"
,"National","National","Poverty Status","Below Poverty","Up-to-date","Yes","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","46.758","2.4072","11495","10863161","2024-2025, National. Poverty Status: Below Poverty",,"4","1","1",,,"0"
,"Region","Region 9","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","1.7024","1.8018","176","10413031","2024-2025, Region 9. Overall (6 months-17 years)","2","1","10","2",,,"0"
,"Region","Region 1","Overall","Overall","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","63.0753","2.9504","7357","2755858","2024-2025, Region 1. Overall (6 months-17 years)","1","1","2","2",,,"0"
,"State","Alabama","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","49.3809","16.2768","66","1905743","2024-2025, Alabama. Overall (6 months-17 years)","4","1","12","3",,,"0"
,"National","National","Race and Ethnicity","Black, Non-Hispanic","4-level vaccination and intent","Probably will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","8.8977","5.0917","273","9632953","2024-2025, National. Race/Ethnicity: Black, Non-Hispanic","3","5","1","1",,,"0"
,"State","Alabama","Overall","Overall","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","39.1148","4.0008","1934","1905743","2024-2025, Alabama. Overall (6 months-17 years)","1","1","12","3",,,"0"
,"Region","Region 10","Overall","Overall","Up-to-date","Yes","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","46.9281","3.184","4921","3007325","2024-2025, Region 10. Overall (6 months-17 years)",,"1","11","2",,,"0"
,"State","Arizona","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","0","0","56","3983484","2024-2025, Arizona. Overall (6 months-17 years)","2","1","14","3",,,"0"
,"National","National","Race and Ethnicity","Black, Non-Hispanic","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","45.4784","2.5765","7402","9632953","2024-2025, National. Race/Ethnicity: Black, Non-Hispanic","1","5","1","1",,,"0"
,"State","Arkansas","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","1.3654","1.3045","132","1998782","2024-2025, Arkansas. Overall (6 months-17 years)","2","1","15","3",,,"0"
,"Region","Region 2","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","37.9426","14.9178","125","5695893","2024-2025, Region 2. Overall (6 months-17 years)","4","1","3","2",,,"0"
,"State","Arkansas","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","4.0014","4.6","132","1998782","2024-2025, Arkansas. Overall (6 months-17 years)","3","1","15","3",,,"0"
,"National","National","Race and Ethnicity","Black, Non-Hispanic","Up-to-date","Yes","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","45.4784","2.5765","7402","9632953","2024-2025, National. Race/Ethnicity: Black, Non-Hispanic",,"5","1","1",,,"0"
,"State","Arkansas","Overall","Overall","Up-to-date","Yes","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","48.2376","4.5402","1940","1998782","2024-2025, Arkansas. Overall (6 months-17 years)",,"1","15","3",,,"0"
,"Region","Region 2","Overall","Overall","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","57.055","3.3512","4419","5695893","2024-2025, Region 2. Overall (6 months-17 years)","1","1","3","2",,,"0"
,"State","California","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","36.4481","22.4313","36","4365737","2024-2025, California. Overall (6 months-17 years)","4","1","16","3",,,"0"
,"National","National","Race and Ethnicity","Hispanic","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","30.8232","6.6099","654","18094002","2024-2025, National. Race/Ethnicity: Hispanic","4","5","1","1",,,"0"
,"State","California","Overall","Overall","Up-to-date","Yes","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","50.4691","5.0738","1627","4365737","2024-2025, California. Overall (6 months-17 years)",,"1","16","3",,,"0"
,"Region","Region 3","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","3.7524","2.599","505","6206356","2024-2025, Region 3. Overall (6 months-17 years)","2","1","4","2",,,"0"
,"State","Colorado","Overall","Overall","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","55.373","4.5277","1472","1206808","2024-2025, Colorado. Overall (6 months-17 years)","1","1","17","3",,,"0"
,"National","National","Race and Ethnicity","Hispanic","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","5.3034","2.4393","654","18094002","2024-2025, National. Race/Ethnicity: Hispanic","2","5","1","1",,,"0"
,"State","Colorado","Overall","Overall","Up-to-date","Yes","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","55.373","4.5277","1472","1206808","2024-2025, Colorado. Overall (6 months-17 years)",,"1","17","3",,,"0"
,"Region","Region 3","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","5.2664","2.9665","505","6206356","2024-2025, Region 3. Overall (6 months-17 years)","3","1","4","2",,,"0"
,"State","Connecticut","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","0","0","34","513470","2024-2025, Connecticut. Overall (6 months-17 years)","2","1","18","3",,,"0"
,"National","National","Race and Ethnicity","Other, Non-Hispanic","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","4.7864","2.638","415","7988083","2024-2025, National. Race/Ethnicity: Other, Non-Hispanic","2","5","1","1",,,"0"
,"State","Connecticut","Overall","Overall","Up-to-date","Yes","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","69.0982","7.0378","918","513470","2024-2025, Connecticut. Overall (6 months-17 years)",,"1","18","3",,,"0"
,"Region","Region 3","Overall","Overall","Up-to-date","Yes","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","55.2409","2.2783","12753","6206356","2024-2025, Region 3. Overall (6 months-17 years)",,"1","4","2",,,"0"
,"State","Delaware","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","7.3033","7.9391","60","584635","2024-2025, Delaware. Overall (6 months-17 years)","3","1","19","3",,,"0"
,"National","National","Race and Ethnicity","Other, Non-Hispanic","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","53.7128","2.5659","11134","7988083","2024-2025, National. Race/Ethnicity: Other, Non-Hispanic","1","5","1","1",,,"0"
,"State","District of Columbia","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","24.3042","16.0932","124","522530","2024-2025, District of Columbia. Overall (6 months-17 years)","4","1","20","3",,,"0"
,"Region","Region 5","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","2.1925","1.7301","399","11056581","2024-2025, Region 5. Overall (6 months-17 years)","2","1","6","2",,,"0"
,"State","District of Columbia","Overall","Overall","Up-to-date","Yes","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","69.3258","5.0362","2584","522530","2024-2025, District of Columbia. Overall (6 months-17 years)",,"1","20","3",,,"0"
,"National","National","Race and Ethnicity","White, Non-Hispanic","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","1.6543","0.7743","1709","33829765","2024-2025, National. Race/Ethnicity: White, Non-Hispanic","2","5","1","1",,,"0"
,"State","Florida","Overall","Overall","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","40.0683","4.5312","1431","3188195","2024-2025, Florida. Overall (6 months-17 years)","1","1","21","3",,,"0"
,"Region","Region 5","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","9.4451","3.8513","399","11056581","2024-2025, Region 5. Overall (6 months-17 years)","3","1","6","2",,,"0"
,"State","Georgia","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","6.1707","11.7395","33","1233179","2024-2025, Georgia. Overall (6 months-17 years)","2","1","22","3",,,"0"
,"National","National","Race and Ethnicity","White, Non-Hispanic","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","45.6071","1.0881","45609","33829765","2024-2025, National. Race/Ethnicity: White, Non-Hispanic","1","5","1","1",,,"0"
,"State","Georgia","Overall","Overall","Up-to-date","Yes","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","42.1075","5.4464","1126","1233179","2024-2025, Georgia. Overall (6 months-17 years)",,"1","22","3",,,"0"
,"Region","Region 5","Overall","Overall","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","46.956","2.0378","9618","11056581","2024-2025, Region 5. Overall (6 months-17 years)","1","1","6","2",,,"0"
,"State","Hawaii","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","27.2647","23.0997","58","1006736","2024-2025, Hawaii. Overall (6 months-17 years)","4","1","24","3",,,"0"
,"National","National","Urbanicity","Rural (Non-MSA)","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","3.2619","2.4756","521","8734388","2024-2025, National. Urbanicity: Rural (Non-MSA)","2","6","1","1",,,"0"
,"State","Idaho","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22",,,"27","963924","2024-2025, Idaho. Overall (6 months-17 years)","2","1","25","3",,,"1"
,"Region","Region 6","Overall","Overall","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","45.9681","1.7665","13072","10325112","2024-2025, Region 6. Overall (6 months-17 years)","1","1","7","2",,,"0"
,"State","Indiana","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","0","0","48","2319618","2024-2025, Indiana. Overall (6 months-17 years)","2","1","27","3",,,"0"
,"National","National","Urbanicity","Rural (Non-MSA)","4-level vaccination and intent","Probably will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","6.7915","3.6528","521","8734388","2024-2025, National. Urbanicity: Rural (Non-MSA)","3","6","1","1",,,"0"
,"State","Indiana","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","18.7168","11.3636","48","2319618","2024-2025, Indiana. Overall (6 months-17 years)","3","1","27","3",,,"0"
,"Region","Region 7","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","2.0973","2.9246","196","3128324","2024-2025, Region 7. Overall (6 months-17 years)","2","1","8","2",,,"0"
,"State","Iowa","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","0","0","60","1201245","2024-2025, Iowa. Overall (6 months-17 years)","2","1","28","3",,,"0"
,"National","National","Urbanicity","Suburban (MSA Non-Principal City)","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","40.9944","3.8309","1690","43704962","2024-2025, National. Urbanicity: Suburban (MSA Non-Principal City)","4","6","1","1",,,"0"
,"State","Kansas","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22",,,"29","155146","2024-2025, Kansas. Overall (6 months-17 years)","4","1","29","3",,,"1"
,"Region","Region 7","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","6.7773","5.5291","196","3128324","2024-2025, Region 7. Overall (6 months-17 years)","3","1","8","2",,,"0"
,"State","Kansas","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22",,,"29","155146","2024-2025, Kansas. Overall (6 months-17 years)","2","1","29","3",,,"1"
,"National","National","Urbanicity","Suburban (MSA Non-Principal City)","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","47.897","1.1184","45191","43704962","2024-2025, National. Urbanicity: Suburban (MSA Non-Principal City)","1","6","1","1",,,"0"
,"State","Kentucky","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","51.5984","12.5878","94","1373312","2024-2025, Kentucky. Overall (6 months-17 years)","4","1","30","3",,,"0"
,"Region","Region 7","Overall","Overall","Up-to-date","Yes","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","48.1952","2.9576","4639","3128324","2024-2025, Region 7. Overall (6 months-17 years)",,"1","8","2",,,"0"
,"State","Kentucky","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","1.4121","2.7712","94","1373312","2024-2025, Kentucky. Overall (6 months-17 years)","2","1","30","3",,,"0"
,"National","National","Urbanicity","Urban (MSA Principal City)","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","54.0626","1.8403","22320","17105455","2024-2025, National. Urbanicity: Urban MSA Principal City","1","6","1","1",,,"0"
,"State","Louisiana","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","44.6169","12.7863","79","1837996","2024-2025, Louisiana. Overall (6 months-17 years)","4","1","31","3",,,"0"
,"Region","Region 8","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","7.5536","6.2287","229","2810093","2024-2025, Region 8. Overall (6 months-17 years)","2","1","9","2",,,"0"
,"State","Maine","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22",,,"27","376168","2024-2025, Maine. Overall (6 months-17 years)","4","1","32","3",,,"1"
,"Region","Region 1","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","2.9182","3.6551","230","2755858","2024-2025, Region 1. Overall (6 months-17 years)","2","1","2","2",,,"0"
,"State","Maine","Overall","Overall","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22",,,"1284","376168","2024-2025, Maine. Overall (6 months-17 years)","1","1","32","3",,,"1"
,"Region","Region 9","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","40.965","11.1498","176","10413031","2024-2025, Region 9. Overall (6 months-17 years)","4","1","10","2",,,"0"
,"State","Maryland","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","24.9491","16.5004","73","955939","2024-2025, Maryland. Overall (6 months-17 years)","4","1","33","3",,,"0"
,"Region","Region 1","Overall","Overall","Up-to-date","Yes","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","63.0753","2.9504","7357","2755858","2024-2025, Region 1. Overall (6 months-17 years)",,"1","2","2",,,"0"
,"State","Maryland","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","8.9447","11.5448","73","955939","2024-2025, Maryland. Overall (6 months-17 years)","3","1","33","3",,,"0"
,"Region","Region 9","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","10.1878","6.629","176","10413031","2024-2025, Region 9. Overall (6 months-17 years)","3","1","10","2",,,"0"
,"State","Maryland","Overall","Overall","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","64.5448","6.1164","1783","955939","2024-2025, Maryland. Overall (6 months-17 years)","1","1","33","3",,,"0"
,"Region","Region 10","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","28.2523","14.781","100","3007325","2024-2025, Region 10. Overall (6 months-17 years)","4","1","11","2",,,"0"
,"State","Massachusetts","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","1.352","2.6829","38","1289073","2024-2025, Massachusetts. Overall (6 months-17 years)","3","1","34","3",,,"0"
,"State","Alabama","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","1.2785","1.8177","66","1905743","2024-2025, Alabama. Overall (6 months-17 years)","3","1","12","3",,,"0"
,"State","Michigan","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","46.7594","16.451","75","1456585","2024-2025, Michigan. Overall (6 months-17 years)","4","1","35","3",,,"0"
,"Region","Region 10","Overall","Overall","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","46.9281","3.184","4921","3007325","2024-2025, Region 10. Overall (6 months-17 years)","1","1","11","2",,,"0"
,"State","Michigan","Overall","Overall","Up-to-date","Yes","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","43.1077","5.1721","1212","1456585","2024-2025, Michigan. Overall (6 months-17 years)",,"1","35","3",,,"0"
,"State","Alaska","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","55.0154","30.0558","34","141310","2024-2025, Alaska. Overall (6 months-17 years)","4","1","13","3",,,"0"
,"State","Minnesota","Overall","Overall","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","53.9552","5.5499","1510","1349652","2024-2025, Minnesota. Overall (6 months-17 years)","1","1","36","3",,,"0"
,"Region","Region 2","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","2.9607","2.9882","125","5695893","2024-2025, Region 2. Overall (6 months-17 years)","3","1","3","2",,,"0"
,"State","Minnesota","Overall","Overall","Up-to-date","Yes","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","53.9552","5.5499","1510","1349652","2024-2025, Minnesota. Overall (6 months-17 years)",,"1","36","3",,,"0"
,"State","Alaska","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","4.2398","6.7022","34","141310","2024-2025, Alaska. Overall (6 months-17 years)","3","1","13","3",,,"0"
,"State","Mississippi","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","62.5032","16.5224","89","596994","2024-2025, Mississippi. Overall (6 months-17 years)","4","1","37","3",,,"0"
,"Region","Region 2","Overall","Overall","Up-to-date","Yes","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","57.055","3.3512","4419","5695893","2024-2025, Region 2. Overall (6 months-17 years)",,"1","3","2",,,"0"
,"State","Mississippi","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","7.9241","10.6654","89","596994","2024-2025, Mississippi. Overall (6 months-17 years)","3","1","37","3",,,"0"
,"State","Alaska","Overall","Overall","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","40.7448","7.3101","1040","141310","2024-2025, Alaska. Overall (6 months-17 years)","1","1","13","3",,,"0"
,"State","Mississippi","Overall","Overall","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","28.4257","4.0011","1372","596994","2024-2025, Mississippi. Overall (6 months-17 years)","1","1","37","3",,,"0"
,"Region","Region 3","Overall","Overall","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","55.2409","2.2783","12753","6206356","2024-2025, Region 3. Overall (6 months-17 years)","1","1","4","2",,,"0"
,"State","Missouri","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","5.3099","10.3916","39","657134","2024-2025, Missouri. Overall (6 months-17 years)","2","1","38","3",,,"0"
,"State","Alaska","Overall","Overall","Up-to-date","Yes","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","40.7448","7.3101","1040","141310","2024-2025, Alaska. Overall (6 months-17 years)",,"1","13","3",,,"0"
,"State","Montana","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","0","0","34","513354","2024-2025, Montana. Overall (6 months-17 years)","3","1","39","3",,,"0"
,"Region","Region 4","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","46.7314","6.1485","524","14146233","2024-2025, Region 4. Overall (6 months-17 years)","4","1","5","2",,,"0"
,"State","Montana","Overall","Overall","4-level vaccination and intent","Received a vaccination","2024-2025","March Week 4","2025 Mar 22 12:00:00 AM","2025-03-22","37.8058","4.1909","1754","513354","2024-2025, Montana. Overall (6 months-17 years)","1","1","39","3",,,"0"
